Name,Team,GS,W,L,ERA,IP,K/9,BB/9,H/9,HR/9,WHIP,Opp_BA,FB%
Nolan McLean,New York Mets,17,5,5,3.78,95.3,10.67,3.4,6.7,0.94,1.12,0.205,41.0
Martín Pérez,Atlanta Braves,13,6,5,3.27,77.0,7.13,3.51,6.9,1.05,1.16,0.214,46.6
Bubba Chandler,Pittsburgh Pirates,17,3,8,4.52,87.7,8.11,5.03,7.39,0.92,1.38,0.219,61.9
Cade Cavalli,Washington Nationals,19,5,4,3.88,92.7,10.2,3.01,9.42,0.78,1.38,0.266,44.9
Kyle Bradish,Baltimore Orioles,18,5,8,3.62,97.0,9.19,4.36,8.16,1.02,1.39,0.242,40.7
Nick Lodolo,Cincinnati Reds,11,2,2,4.69,55.7,7.28,3.56,9.22,1.29,1.42,0.275,50.4
Joe Ryan,Minnesota Twins,19,5,5,3.57,98.3,10.53,2.01,7.6,0.92,1.07,0.223,60.1
Ryan Weathers,New York Yankees,17,3,6,4.12,89.7,10.04,2.51,8.73,1.61,1.25,0.251,53.7
Chris Murphy,Chicago White Sox,1,2,0,3.79,19.0,8.53,4.74,7.58,0.47,1.37,0.229,67.6
Tanner Bibee,Cleveland Guardians,18,2,9,3.69,102.3,7.3,2.55,7.48,1.5,1.11,0.225,57.1
Matthew Liberatore,St. Louis Cardinals,17,4,5,5.33,82.7,8.6,3.59,10.34,1.85,1.55,0.291,59.7
Javier Assad,Chicago Cubs,6,6,1,4.53,51.7,5.4,2.26,7.84,1.74,1.12,0.237,48.7
Aaron Nola,Philadelphia Phillies,17,3,5,6.04,85.0,9.21,3.07,10.38,2.01,1.49,0.287,52.5
Luinder Avila,Kansas City Royals,7,3,3,5.4,46.7,8.29,5.79,9.26,0.96,1.67,0.276,48.8
Mason Englert,Tampa Bay Rays,1,0,1,3.96,25.0,6.84,2.16,10.8,1.44,1.44,0.3,70.4
Peter Lambert,Houston Astros,13,6,5,3.51,74.3,8.23,3.75,6.9,1.21,1.18,0.209,60.4
Casey Mize,Detroit Tigers,12,3,5,2.63,65.0,9.42,1.94,6.78,0.55,0.97,0.208,62.8
Kumar Rocker,Texas Rangers,14,2,6,3.83,80.0,7.88,3.49,8.55,0.9,1.34,0.247,47.3
Tyler Mahle,San Francisco Giants,13,1,8,5.67,66.7,8.64,3.91,9.31,1.62,1.47,0.273,48.0
Tanner Gordon,Colorado Rockies,3,0,2,6.69,40.3,8.7,1.79,12.5,1.56,1.59,0.331,62.3
Brandon Sproat,Milwaukee Brewers,14,3,4,5.28,75.0,9.6,4.08,7.92,1.68,1.33,0.241,52.3
Eduardo Rodriguez,Arizona Diamondbacks,3,1,2,2.0,36.0,8.5,3.25,7.5,0.25,1.19,0.221,42.7
Eury Pérez,Miami Marlins,14,4,6,4.21,72.7,10.03,3.96,6.94,1.61,1.21,0.213,59.8
Gage Jump,Athletics,7,3,2,2.93,40.0,9.0,2.25,7.88,0.45,1.13,0.24,65.8
Trey Yesavage,Toronto Blue Jays,12,4,3,3.34,67.3,8.15,4.01,5.88,0.8,1.1,0.185,63.5
Emerson Hancock,Seattle Mariners,16,5,4,3.47,90.7,8.64,2.18,7.25,1.19,1.05,0.22,56.3
JP Sears,San Diego Padres,2,1,1,6.97,10.3,7.84,4.35,11.32,3.48,1.74,0.289,69.6
Emmet Sheehan,Los Angeles Dodgers,15,4,5,5.08,72.7,10.03,2.72,8.67,1.86,1.27,0.25,57.6
Ranger Suarez,Boston Red Sox,16,4,3,2.94,88.7,9.34,2.64,7.51,0.51,1.13,0.224,53.9
Ryan Johnson,Los Angeles Angels,4,1,3,7.4,24.3,6.66,3.33,10.36,2.22,1.52,0.283,54.5
